id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
6cj1SyuhiBcuw5O0zLooUw,33.736753,-118.399057,$$,1034,3.5,90275,Rancho Palos Verdes,nelsons-rancho-palos-verdes,"['comfortfood', 'bars']"
zBCW_Ozlk5VeSoue626JUg,33.737931,-118.39619,$$,16,4,90275,Rancho Palos Verdes,cielo-point-rancho-palos-verdes,['tradamerican']
49Ib3q8XKr6nnWIxO_qx0Q,33.73820909,-118.3973156,$$,205,3.5,90275,Rancho Palos Verdes,bashi-rancho-palos-verdes,"['asianfusion', 'sushi', 'noodles']"
XxE8ccFye-bSfx4N8rJ8RA,33.738226,-118.3976579,$$,5,3,90275,Rancho Palos Verdes,spa-cafe-rancho-palos-verdes-3,['cafes']
T9h21w-CPJi9NyLLIl8vTQ,33.73826681,-118.3979108,$$,74,4,90275,Rancho Palos Verdes,lobby-bar-rancho-palos-verdes,"['newamerican', 'lounges']"
j2rkjK_7uYcNlN_kNjInZw,33.73842595,-118.397276,$$$,651,3.5,90275,Rancho Palos Verdes,catalina-kitchen-rancho-palos-verdes,"['buffets', 'newamerican', 'breakfast_brunch']"
juzVI8XmlU8mYNLrgSWfeA,33.73859982,-118.3963728,$$$$,519,4,90275,Rancho Palos Verdes,marsel-rancho-palos-verdes,"['newamerican', 'diners']"
uVBwIjjM5tAA0tYAQp4Iaw,33.73873865,-118.3979034,$$,142,4,90275,Rancho Palos Verdes,sea-beans-rancho-palos-verdes,"['coffee', 'gelato']"
zetIfVUlX72MWw2Us7bNPw,33.748161,-118.406206,$,44,1.5,90275,Rancho Palos Verdes,dominos-pizza-rancho-palos-verdes-2,"['pizza', 'chicken_wings', 'sandwiches']"
Rcaq4XD5c7V8FtpPl-lbgA,33.748077,-118.4069753,$$,317,3,90275,Rancho Palos Verdes,yellow-vase-rancho-palos-verdes-2,"['floraldesigners', 'florists', 'creperies']"
#NAME?,33.74831255,-118.4061074,$$,126,4.5,90275,Rancho Palos Verdes,poke-me-rancho-palos-verdes,"['poke', 'hawaiian', 'japanese']"
kHT-uvjpStFv2WWg6u2W0Q,33.74843737,-118.4057256,$,228,4,90275,Rancho Palos Verdes,tomatillo-rancho-palos-verdes,['mexican']
